wavelengthmicrons,Reindex,Imindex
0.725157,1.64524,0.860823
0.723861,1.6463,0.859703
0.722569,1.64736,0.858593
0.721282,1.64841,0.857492
0.72,1.64944,0.856401
0.72,1.64944,0.856401
0.718722,1.65047,0.855318
0.717449,1.65149,0.854244
0.71618,1.6525,0.853179
0.714916,1.65351,0.852123
0.713656,1.6545,0.851076
0.712401,1.65548,0.850037
0.71115,1.65646,0.849007
0.71,1.65735,0.848063
0.709904,1.65743,0.847985
0.708661,1.65838,0.846971
0.707424,1.65933,0.845965
0.70619,1.66028,0.844967
0.704961,1.66121,0.843977
0.703736,1.66213,0.842995
