wavelengthmicrons,Reindex,Imindex
0.932106,2.56802,1.29969
0.93,2.56207,1.29912
0.929966,2.56197,1.29912
0.927835,2.55596,1.29849
0.925714,2.54999,1.29783
0.923603,2.54406,1.29712
0.921502,2.53817,1.29637
0.92,2.53398,1.29581
0.91941,2.53233,1.29558
0.917327,2.52652,1.29475
0.915254,2.52076,1.29388
0.913191,2.51503,1.29298
0.911136,2.50935,1.29204
0.91,2.50621,1.2915
0.909091,2.50371,1.29106
0.907055,2.49811,1.29005
0.905028,2.49254,1.28901
0.90301,2.48702,1.28793
0.901001,2.48154,1.28683
0.9,2.47882,1.28626
0.899001,2.4761,1.28569
0.89701,2.4707,1.28452
0.895028,2.46533,1.28332
0.893054,2.46001,1.2821
0.891089,2.45473,1.28085
0.89,2.4518,1.28014
0.889133,2.44948,1.27957
0.887185,2.44427,1.27826
0.885246,2.4391,1.27694
0.883315,2.43397,1.27558
0.881393,2.42887,1.27421
0.88,2.42519,1.27319
0.879479,2.42381,1.27281
0.877573,2.41879,1.27138
0.875676,2.4138,1.26994
0.873786,2.40885,1.26848
0.871905,2.40394,1.26699
0.870032,2.39906,1.26549
0.87,2.39898,1.26546
0.868167,2.39422,1.26396
0.86631,2.38941,1.26242
0.864461,2.38463,1.26086
0.86262,2.37989,1.25928
0.860786,2.37518,1.25769
0.86,2.37316,1.257
0.858961,2.3705,1.25607
0.857143,2.36586,1.25445
0.855333,2.36124,1.2528
0.85353,2.35666,1.25114
0.851735,2.35211,1.24947
0.85,2.34772,1.24783
0.849948,2.34759,1.24778
0.848168,2.3431,1.24608
0.846395,2.33864,1.24436
0.84463,2.33421,1.24263
0.842872,2.32981,1.24089
0.841121,2.32544,1.23913
0.84,2.32264,1.23799
0.839378,2.3211,1.23736
0.837642,2.31678,1.23558
0.835913,2.31249,1.23379
0.834192,2.30823,1.23198
0.832477,2.30399,1.23016
0.830769,2.29978,1.22833
0.83,2.29789,1.2275
0.829069,2.2956,1.22649
0.827375,2.29144,1.22464
0.825688,2.2873,1.22278
0.824008,2.2832,1.22091
0.822335,2.27911,1.21902
0.820669,2.27505,1.21713
0.82,2.27342,1.21636
0.819009,2.27101,1.21522
0.817356,2.26699,1.21331
0.81571,2.263,1.21138
0.81407,2.25903,1.20945
0.812437,2.25508,1.2075
0.810811,2.25115,1.20555
0.81,2.24919,1.20456
0.809191,2.24724,1.20358
0.807577,2.24336,1.2016
0.80597,2.23949,1.19962
0.804369,2.23564,1.19762
0.802775,2.23182,1.19561
0.801187,2.22801,1.19359
0.8,2.22517,1.19207
0.799605,2.22422,1.19157
0.79803,2.22045,1.18953
0.79646,2.2167,1.18748
0.794897,2.21297,1.18542
0.79334,2.20925,1.18335
0.791789,2.20555,1.18127
0.790244,2.20187,1.17918
0.79,2.20129,1.17885
0.788705,2.1982,1.17708
0.787172,2.19456,1.17497
0.785645,2.19092,1.17284
0.784124,2.18731,1.17071
0.782609,2.18371,1.16856
0.781099,2.18012,1.1664
0.78,2.17751,1.16482
0.779596,2.17655,1.16423
0.778098,2.173,1.16205
0.776606,2.16946,1.15985
0.77512,2.16593,1.15765
0.773639,2.16242,1.15543
0.772164,2.15892,1.15319
0.770695,2.15544,1.15095
0.77,2.1538,1.14988
0.769231,2.15197,1.14869
0.767773,2.14852,1.14642
0.76632,2.14507,1.14413
0.764873,2.14165,1.14183
0.763431,2.13823,1.13951
0.761994,2.13483,1.13718
0.760563,2.13144,1.13484
0.76,2.1301,1.13391
0.759138,2.12806,1.13248
0.757717,2.1247,1.1301
0.756303,2.12135,1.12771
0.754893,2.11801,1.1253
0.753488,2.11468,1.12287
0.752089,2.11137,1.12043
0.750695,2.10806,1.11797
0.75,2.10642,1.11674
0.749306,2.10478,1.1155
0.747922,2.1015,1.113
0.746544,2.09823,1.11049
0.74517,2.09498,1.10795
0.743802,2.09174,1.1054
0.742438,2.08851,1.10283
0.74108,2.0853,1.10024
0.74,2.08274,1.09816
0.739726,2.0821,1.09763
0.738377,2.07891,1.095
0.737034,2.07573,1.09234
0.735695,2.07256,1.08967
0.734361,2.06941,1.08697
0.733032,2.06627,1.08425
0.731707,2.06315,1.08151
0.730388,2.06004,1.07875
0.73,2.05912,1.07793
0.729073,2.05694,1.07596
0.727763,2.05385,1.07314
0.726457,2.05078,1.07031
0.725157,2.04772,1.06744
0.723861,2.04468,1.06455
0.722569,2.04165,1.06164
0.721282,2.03864,1.0587
0.72,2.03564,1.05573
0.72,2.03564,1.05573
0.718722,2.03266,1.05274
0.717449,2.02969,1.04971
0.71618,2.02674,1.04666
